file,order_index,vertex_id,comp_id
large_01.json,0,0,19
large_01.json,1,1,22
large_01.json,2,5,23
large_01.json,3,3,17
large_01.json,4,4,18
large_01.json,5,6,20
large_01.json,6,2,21
large_01.json,7,11,13
large_01.json,8,7,16
large_01.json,9,9,14
large_01.json,10,8,12
large_01.json,11,12,15
large_01.json,12,13,10
large_01.json,13,10,11
large_01.json,14,18,5
large_01.json,15,14,6
large_01.json,16,15,7
large_01.json,17,16,9
large_01.json,18,20,2
large_01.json,19,22,1
large_01.json,20,17,8
large_01.json,21,19,4
large_01.json,22,21,3
large_01.json,23,23,0
large_02.json,0,1,0
large_02.json,1,9,0
large_02.json,2,17,0
large_02.json,3,16,0
large_02.json,4,26,0
large_02.json,5,18,0
large_02.json,6,23,0
large_02.json,7,10,0
large_02.json,8,4,0
large_02.json,9,24,0
large_02.json,10,29,0
large_02.json,11,6,0
large_02.json,12,21,0
large_02.json,13,22,0
large_02.json,14,2,0
large_02.json,15,3,0
large_02.json,16,7,0
large_02.json,17,27,0
large_02.json,18,20,0
large_02.json,19,13,0
large_02.json,20,19,0
large_02.json,21,5,0
large_02.json,22,12,0
large_02.json,23,8,0
large_02.json,24,11,0
large_02.json,25,14,0
large_02.json,26,25,0
large_02.json,27,15,0
large_02.json,28,28,0
large_02.json,29,0,0
large_03.json,0,18,0
large_03.json,1,14,0
large_03.json,2,17,0
large_03.json,3,39,0
large_03.json,4,15,0
large_03.json,5,35,0
large_03.json,6,20,0
large_03.json,7,5,0
large_03.json,8,23,0
large_03.json,9,11,0
large_03.json,10,9,0
large_03.json,11,24,0
large_03.json,12,30,0
large_03.json,13,7,0
large_03.json,14,10,0
large_03.json,15,37,0
large_03.json,16,6,0
large_03.json,17,22,0
large_03.json,18,4,0
large_03.json,19,3,0
large_03.json,20,38,0
large_03.json,21,31,0
large_03.json,22,29,0
large_03.json,23,1,0
large_03.json,24,21,0
large_03.json,25,34,0
large_03.json,26,8,0
large_03.json,27,13,0
large_03.json,28,12,0
large_03.json,29,32,0
large_03.json,30,16,0
large_03.json,31,26,0
large_03.json,32,33,0
large_03.json,33,28,0
large_03.json,34,2,0
large_03.json,35,19,0
large_03.json,36,25,0
large_03.json,37,27,0
large_03.json,38,36,0
large_03.json,39,0,0
medium_01.json,0,0,11
medium_01.json,1,1,9
medium_01.json,2,3,10
medium_01.json,3,2,8
medium_01.json,4,4,6
medium_01.json,5,10,7
medium_01.json,6,6,4
medium_01.json,7,5,5
medium_01.json,8,8,1
medium_01.json,9,7,3
medium_01.json,10,9,2
medium_01.json,11,11,0
medium_02.json,0,14,0
medium_02.json,1,6,0
medium_02.json,2,9,0
medium_02.json,3,1,0
medium_02.json,4,3,0
medium_02.json,5,10,0
medium_02.json,6,8,0
medium_02.json,7,12,0
medium_02.json,8,15,0
medium_02.json,9,4,0
medium_02.json,10,11,0
medium_02.json,11,2,0
medium_02.json,12,13,0
medium_02.json,13,5,0
medium_02.json,14,7,0
medium_02.json,15,0,0
medium_03.json,0,12,0
medium_03.json,1,4,0
medium_03.json,2,7,0
medium_03.json,3,13,0
medium_03.json,4,14,0
medium_03.json,5,10,0
medium_03.json,6,15,0
medium_03.json,7,1,0
medium_03.json,8,16,0
medium_03.json,9,3,0
medium_03.json,10,8,0
medium_03.json,11,6,0
medium_03.json,12,9,0
medium_03.json,13,17,0
medium_03.json,14,2,0
medium_03.json,15,5,0
medium_03.json,16,11,0
medium_03.json,17,0,0
small_01.json,0,0,1
small_01.json,1,1,3
small_01.json,2,2,5
small_01.json,3,4,0
small_01.json,4,3,4
small_01.json,5,5,2
small_02.json,0,1,6
small_02.json,1,6,2
small_02.json,2,7,5
small_02.json,3,5,4
small_02.json,4,4,3
small_02.json,5,3,3
small_02.json,6,0,1
small_02.json,7,2,0
small_03.json,0,4,1
small_03.json,1,1,0
small_03.json,2,2,0
small_03.json,3,6,0
small_03.json,4,3,0
small_03.json,5,5,0
small_03.json,6,8,0
small_03.json,7,7,0
small_03.json,8,9,0
small_03.json,9,0,0
